"","Country","Status","HIV.AIDS","Income.composition.of.resources","Adult.Mortality","under.five.deaths","thinness.5.9.years","Diphtheria","Schooling","Life.expectancy","continent","class"
"81","Argentina",0,0.1,0.826,116,9,0.9,94,16.99,76.3,"Americas",1
"82","Argentina",0,0.1,0.825,118,9,0.9,94,16.99,76.2,"Americas",1
"83","Argentina",0,0.1,0.823,119,10,0.9,94,16.99,76,"Americas",1
"84","Argentina",0,0.1,0.822,12,10,0.9,91,16.99,75.9,"Americas",1
"85","Argentina",0,0.1,0.816,12,10,0.9,91,16.99,75.7,"Americas",1
"86","Argentina",0,0.1,0.802,121,11,0.9,94,16.8,75.5,"Americas",1
"87","Argentina",0,0.1,0.794,126,11,0.9,94,16.5,75.6,"Americas",1
"88","Argentina",0,0.1,0.792,126,11,0.9,93,16.3,75.4,"Americas",1
"89","Argentina",0,0.1,0.788,129,12,0.9,91,16.3,74.8,"Americas",1
"90","Argentina",0,0.1,0.782,127,12,0.9,91,16.1,75.2,"Americas",1
"91","Argentina",0,0.1,0.78,127,12,1,98,16.3,74.9,"Americas",1
"92","Argentina",0,0.1,0.775,13,12,1,98,16.3,74.7,"Americas",1
"93","Argentina",0,0.1,0.77,137,13,1,96,16.4,74.1,"Americas",1
"94","Argentina",0,0.1,0.776,138,13,1,93,16.3,74.1,"Americas",1
"95","Argentina",0,0.1,0.771,138,13,1.1,83,15.6,74,"Americas",1
"96","Argentina",0,0.1,0.764,137,14,1.1,83,15,74.1,"Americas",1
"97","Armenia",0,0.1,0.741,118,1,2.2,94,12.7,74.8,"Asia",1
"98","Armenia",0,0.1,0.739,12,1,2.1,93,12.7,74.6,"Asia",1
"99","Armenia",0,0.1,0.736,123,1,2.1,95,12.7,74.4,"Asia",1
"100","Armenia",0,0.1,0.732,121,1,2.1,95,12.7,74.4,"Asia",1
"101","Armenia",0,0.1,0.729,128,1,2.1,95,12.7,73.9,"Asia",1
"102","Armenia",0,0.1,0.72,132,1,2.1,94,12.3,73.5,"Asia",1
"103","Armenia",0,0.1,0.725,137,1,2.1,93,11.9,73.3,"Asia",1
"104","Armenia",0,0.1,0.721,14,1,2.1,89,12.3,73.2,"Asia",1
"105","Armenia",0,0.1,0.707,132,1,2.1,88,11.7,73.5,"Asia",1
"106","Armenia",0,0.1,0.692,141,1,2.1,87,11.2,72.9,"Asia",1
"109","Armenia",0,0.1,0.657,134,1,2.1,94,10.8,72.7,"Asia",1
"110","Armenia",0,0.1,0.645,134,1,2.1,94,10.8,72.6,"Asia",1
"111","Armenia",0,0.1,0.644,141,1,2.1,94,11.1,72.6,"Asia",1
"112","Armenia",0,0.1,0.639,142,1,2.2,93,11.2,72,"Asia",1
"113","Australia",1,0.1,0.894,59,1,0.6,93,16.99,82.09,"Oceania",1
"114","Australia",1,0.1,0.894,12,1,0.6,92,16.99,82.09,"Oceania",1
"115","Australia",1,0.1,0.894,61,1,0.6,91,16.99,82.09,"Oceania",1
"116","Australia",1,0.1,0.894,61,1,0.6,92,16.99,82.09,"Oceania",1
"117","Australia",1,0.1,0.894,63,1,0.6,92,16.99,82,"Oceania",1
"118","Australia",1,0.1,0.894,64,1,0.6,92,16.99,81.9,"Oceania",1
"119","Australia",1,0.1,0.894,66,1,0.6,92,16.99,81.7,"Oceania",1
"120","Australia",1,0.1,0.894,66,1,0.6,92,16.99,81.3,"Oceania",1
"121","Australia",1,0.1,0.894,66,2,0.6,92,16.99,81.3,"Oceania",1
"122","Australia",1,0.1,0.894,66,2,0.6,92,16.99,81.2,"Oceania",1
"123","Australia",1,0.1,0.894,67,2,0.6,92,16.99,81,"Oceania",1
"124","Australia",1,0.1,0.894,69,1,0.6,92,16.99,82.09,"Oceania",1
"125","Australia",1,0.1,0.894,71,1,0.7,93,16.99,82.09,"Oceania",1
"126","Australia",1,0.1,0.894,73,2,0.7,92,16.99,79.9,"Oceania",1
"127","Australia",1,0.1,0.894,75,2,0.7,92,16.99,79.9,"Oceania",1
"128","Australia",1,0.1,0.894,78,2,0.7,65,16.99,79.5,"Oceania",1
"129","Austria",1,0.1,0.892,65,0,2.1,93,15.9,81.5,"Europe",1
"130","Austria",1,0.1,0.892,66,0,2,98,15.9,81.4,"Europe",1
"131","Austria",1,0.1,0.887,68,0,2,95,15.7,81.1,"Europe",1
"132","Austria",1,0.1,0.884,12,0,2,92,15.7,82.09,"Europe",1
"133","Austria",1,0.1,0.88,73,0,2,89,15.7,82.09,"Europe",1
"134","Austria",1,0.1,0.872,75,0,1.9,86,15.4,82.09,"Europe",1
"135","Austria",1,0.1,0.87,77,0,1.9,83,15.3,82,"Europe",1
"136","Austria",1,0.1,0.864,76,0,1.9,83,15.1,82.09,"Europe",1
"137","Austria",1,0.1,0.86,12,0,1.9,85,15.2,81,"Europe",1
"138","Austria",1,0.1,0.854,81,0,1.9,83,15,79.8,"Europe",1
"139","Austria",1,0.1,0.848,85,0,1.9,86,14.9,79.4,"Europe",1
"140","Austria",1,0.1,0.841,86,0,1.9,83,14.7,79.3,"Europe",1
"141","Austria",1,0.1,0.837,88,0,1.9,84,14.7,78.8,"Europe",1
"142","Austria",1,0.1,0.847,12,0,1.9,83,16.1,78.7,"Europe",1
"143","Austria",1,0.1,0.837,92,0,1.9,84,15.5,78.6,"Europe",1
"144","Austria",1,0.1,0.833,96,0,1.9,81,15.4,78.1,"Europe",1
"145","Azerbaijan",0,0.1,0.758,118,6,2.9,96,12.7,72.7,"Asia",1
"146","Azerbaijan",0,0.1,0.752,119,6,2.9,94,12.2,72.5,"Asia",1
"147","Azerbaijan",0,0.1,0.745,121,6,2.8,93,11.9,72.2,"Asia",1
"148","Azerbaijan",0,0.1,0.742,123,6,2.8,89,11.8,71.9,"Asia",1
"149","Azerbaijan",0,0.1,0.741,125,6,2.9,87,11.7,71.6,"Asia",1
"150","Azerbaijan",0,0.1,0.737,13,6,2.9,81,11.7,71.1,"Asia",1
"151","Azerbaijan",0,0.1,0.728,132,6,2.9,81,11.6,78,"Asia",1
"152","Azerbaijan",0,0.1,0.719,141,6,2.9,81,11.6,73,"Asia",1
"153","Azerbaijan",0,0.1,0.708,14,7,2.9,79,11.6,73,"Asia",1
"154","Azerbaijan",0,0.1,0.682,154,7,2.9,78,10.7,69.2,"Asia",0
"156","Azerbaijan",0,0.1,0.668,154,8,3,77,11,68.4,"Asia",0
"159","Azerbaijan",0,0.1,0.642,151,10,3.1,77,10.4,67.5,"Asia",0
"160","Azerbaijan",0,0.1,0.636,16,11,3.1,76,10.1,66.6,"Asia",0
"161","Bahamas",0,0.1,0.79,147,0,2.5,95,12.6,76.1,"Americas",1
"162","Bahamas",0,0.1,0.789,16,0,2.5,96,12.6,75.4,"Americas",1
"163","Bahamas",0,0.1,0.79,172,0,2.5,97,12.6,74.8,"Americas",1
"164","Bahamas",0,0.2,0.789,167,0,2.5,98,12.6,74.9,"Americas",1
"165","Bahamas",0,0.1,0.788,162,0,2.5,98,12.6,75,"Americas",1
"166","Bahamas",0,0.2,0.788,161,0,2.5,99,12.6,75,"Americas",1
"167","Bahamas",0,0.1,0.791,168,0,2.5,96,12.6,74.6,"Americas",1
"168","Bahamas",0,0.1,0.791,167,0,2.5,93,12.6,74.5,"Americas",1
"169","Bahamas",0,0.1,0.79,167,0,2.5,95,12.5,74.4,"Americas",1
"170","Bahamas",0,0.1,0.788,171,0,2.5,95,12.4,74.2,"Americas",1
"171","Bahamas",0,0.1,0.786,172,0,2.5,93,12.4,74.1,"Americas",1
"172","Bahamas",0,0.1,0.784,174,0,2.5,93,12.3,73.8,"Americas",1
"173","Bahamas",0,0.1,0.783,189,0,2.5,92,12.2,73.2,"Americas",1
"174","Bahamas",0,0.1,0.781,19,0,2.6,94,12.1,73.1,"Americas",1
"175","Bahamas",0,0.2,0.779,189,0,2.6,99,12.1,72.9,"Americas",1
"176","Bahamas",0,0.1,0.286,192,0,2.6,99,12,72.6,"Americas",1
"177","Bahrain",0,0.1,0.823,69,0,6.1,98,14.5,76.9,"Asia",1
"178","Bahrain",0,0.1,0.82,12,0,6,98,14.5,76.8,"Asia",1
"179","Bahrain",0,0.1,0.815,12,0,6,99,14.5,76.7,"Asia",1
"180","Bahrain",0,0.1,0.812,71,0,6,99,14.5,76.5,"Asia",1
"181","Bahrain",0,0.1,0.812,76,0,6,99,14.4,76.1,"Asia",1
"182","Bahrain",0,0.1,0.81,73,0,5.9,99,14.4,76.1,"Asia",1
"183","Bahrain",0,0.1,0.814,74,0,5.9,98,14.4,76,"Asia",1
"184","Bahrain",0,0.1,0.815,76,0,5.9,97,14.4,75.8,"Asia",1
"185","Bahrain",0,0.1,0.813,77,0,5.9,97,14.4,75.6,"Asia",1
"186","Bahrain",0,0.1,0.81,79,0,5.9,98,14.2,75.5,"Asia",1
"187","Bahrain",0,0.1,0.806,81,0,5.9,98,14,75.3,"Asia",1
"188","Bahrain",0,0.1,0.803,83,0,5.9,98,13.9,75.2,"Asia",1
"189","Bahrain",0,0.1,0.798,85,0,5.9,97,13.7,75,"Asia",1
"190","Bahrain",0,0.1,0.796,87,0,5.9,98,13.5,74.9,"Asia",1
"191","Bahrain",0,0.1,0.794,12,0,6,99,13.3,74.7,"Asia",1
"192","Bahrain",0,0.1,0.786,92,0,6,97,13.2,74.5,"Asia",1
"193","Bangladesh",0,0.1,0.575,129,80,11.3,97,10.2,71.8,"Asia",1
"194","Bangladesh",0,0.1,0.57,132,80,11.3,97,10,71.4,"Asia",1
"195","Bangladesh",0,0.1,0.565,135,80,11.3,96,10,71,"Asia",1
"198","Bangladesh",0,0.1,0.535,142,80,11.3,94,8.9,69.9,"Asia",0
"199","Bangladesh",0,0.1,0.523,144,80,11.3,97,8.4,69.5,"Asia",0
"209","Barbados",0,0.1,0.794,98,0,3.7,97,15.3,75.5,"Americas",1
"210","Barbados",0,0.1,0.793,12,0,3.7,94,15.3,75.4,"Americas",1
"211","Barbados",0,0.1,0.792,12,0,3.8,91,15.3,75.2,"Americas",1
"212","Barbados",0,0.1,0.785,12,0,3.8,87,15.3,75.1,"Americas",1
"213","Barbados",0,0.1,0.78,14,0,3.8,91,15.5,74.9,"Americas",1
"214","Barbados",0,0.1,0.781,16,0,3.8,86,15.8,74.7,"Americas",1
"215","Barbados",0,0.1,0.779,19,0,3.8,93,15.5,74.6,"Americas",1
"216","Barbados",0,0.1,0.775,111,0,3.9,85,15.3,74.4,"Americas",1
"217","Barbados",0,0.1,0.771,113,0,3.9,93,15,74.2,"Americas",1
"218","Barbados",0,0.1,0.766,115,0,3.9,84,14.8,74.1,"Americas",1
"219","Barbados",0,0.1,0.761,117,0,4,92,14.6,73.9,"Americas",1
"220","Barbados",0,0.2,0.757,119,0,4,93,14.4,73.8,"Americas",1
"221","Barbados",0,0.4,0.753,121,0,4.1,89,14.2,73.7,"Americas",1
"222","Barbados",0,0.8,0.749,123,0,4.1,87,14,73.5,"Americas",1
"223","Barbados",0,0.7,0.75,125,0,4.2,84,14,73.4,"Americas",1
"224","Barbados",0,0.9,0.741,127,0,4.2,93,14,73.3,"Americas",1
"225","Belarus",0,0.1,0.798,196,0,2,99,15.6,72.3,"Europe",1
"226","Belarus",0,0.1,0.796,199,0,2,97,15.7,72,"Europe",1
"227","Belarus",0,0.1,0.796,23,1,2,98,15.7,71.7,"Europe",1
"228","Belarus",0,0.1,0.793,194,1,2.1,98,15.6,71.9,"Europe",1
"229","Belarus",0,0.1,0.787,232,1,2.1,98,15.5,72,"Europe",1
"230","Belarus",0,0.1,0.78,222,1,2.2,98,15.5,73,"Europe",1
"231","Belarus",0,0.1,0.771,226,1,2.2,96,15.4,70,"Europe",0
"232","Belarus",0,0.1,0.755,224,1,2.3,97,15.1,70,"Europe",0
"233","Belarus",0,0.1,0.739,226,1,2.3,95,14.9,69.8,"Europe",0
"234","Belarus",0,0.1,0.723,243,1,2.4,99,14.6,68.9,"Europe",0
"235","Belarus",0,0.1,0.713,252,1,2.5,99,14.4,68.1,"Europe",0
"236","Belarus",0,0.1,0.703,247,1,2.5,99,14.1,68.2,"Europe",0
"237","Belarus",0,0.1,0.695,253,1,2.6,65,13.9,67.7,"Europe",0
"238","Belarus",0,0.1,0.687,262,1,2.7,99,13.6,67.2,"Europe",0
"239","Belarus",0,0.1,0.681,254,1,2.7,99,13.3,67.7,"Europe",0
"240","Belarus",0,0.1,0.675,247,1,2.8,99,13.1,68,"Europe",0
"241","Belgium",1,0.1,0.894,74,1,1,99,16.6,81.1,"Europe",1
"242","Belgium",1,0.1,0.89,76,1,1,99,16.3,82.09,"Europe",1
"243","Belgium",1,0.1,0.889,77,1,0.9,99,16.3,82.09,"Europe",1
"244","Belgium",1,0.1,0.886,78,1,0.9,99,16.2,82.09,"Europe",1
"245","Belgium",1,0.1,0.884,12,1,0.9,98,16.1,82.09,"Europe",1
"246","Belgium",1,0.1,0.878,81,1,0.9,98,15.9,80,"Europe",1
"247","Belgium",1,0.1,0.876,85,1,0.9,98,15.8,79.8,"Europe",1
"248","Belgium",1,0.1,0.874,87,1,0.8,99,15.8,79.5,"Europe",1
"249","Belgium",1,0.1,0.871,86,1,0.8,98,15.8,79.5,"Europe",1
"250","Belgium",1,0.1,0.865,85,1,0.8,98,15.7,79.4,"Europe",1
"251","Belgium",1,0.1,0.861,89,1,0.8,97,15.7,78.9,"Europe",1
"252","Belgium",1,0.1,0.88,91,1,0.8,95,16.99,78.8,"Europe",1
"253","Belgium",1,0.1,0.878,95,1,0.8,95,16.99,78.3,"Europe",1
"254","Belgium",1,0.1,0.875,99,1,0.8,95,16.99,78,"Europe",1
"255","Belgium",1,0.1,0.873,12,1,0.8,95,16.99,78,"Europe",1
"256","Belgium",1,0.1,0.869,12,1,0.8,95,16.99,77.6,"Europe",1
"257","Belize",0,0.2,0.706,175,0,3.4,94,12.8,71,"Americas",1
"258","Belize",0,0.2,0.705,177,0,3.4,95,12.8,70,"Americas",0
"259","Belize",0,0.2,0.706,18,0,3.4,95,12.9,69.8,"Americas",0
"260","Belize",0,0.1,0.702,189,0,3.4,98,12.5,69.4,"Americas",0
"261","Belize",0,0.5,0.7,188,0,3.4,95,12.4,69.4,"Americas",0
"262","Belize",0,0.2,0.7,186,0,3.4,96,12.4,69.5,"Americas",0
"263","Belize",0,0.3,0.7,184,0,3.4,97,12.7,69.5,"Americas",0
"264","Belize",0,0.1,0.699,181,0,3.4,94,12.8,69.6,"Americas",0
"265","Belize",0,0.6,0.7,181,0,3.5,96,12.8,69.6,"Americas",0
"266","Belize",0,0.6,0.692,184,0,3.5,98,12.3,69.4,"Americas",0
"267","Belize",0,0.8,0.695,191,0,3.5,96,12.8,69,"Americas",0
"268","Belize",0,0.8,0.691,197,0,3.5,97,12.5,68.7,"Americas",0
"269","Belize",0,1,0.684,21,0,3.6,96,12.2,68.4,"Americas",0
"270","Belize",0,0.1,0.678,199,0,3.6,89,11.9,68.5,"Americas",0
"271","Belize",0,0.4,0.677,21,0,3.7,96,11.8,68.2,"Americas",0
"272","Belize",0,0.3,0.668,196,0,3.7,91,11.7,68.3,"Americas",0
"273","Benin",0,1,0.481,249,39,6.8,82,10.7,60,"Africa",0
"274","Benin",0,1,0.475,252,39,6.9,78,10.7,59.7,"Africa",0
"275","Benin",0,1,0.466,251,39,7.1,77,10.3,59.5,"Africa",0
"276","Benin",0,1,0.458,251,39,7.3,65,10,59.3,"Africa",0
"277","Benin",0,1,0.454,251,39,7.5,75,9.8,59.1,"Africa",0
"278","Benin",0,1,0.451,254,39,7.6,76,9.5,58.7,"Africa",0
"280","Benin",0,1,0.444,278,39,8,75,9.1,57.6,"Africa",0
"281","Benin",0,1,0.438,283,39,8.2,82,8.9,57.1,"Africa",0
"282","Benin",0,1,0.434,284,39,8.4,74,8.7,56.8,"Africa",0
"283","Benin",0,1,0.43,285,39,8.6,65,8.5,56.5,"Africa",0
"284","Benin",0,1,0.423,285,39,8.8,72,8.1,56.1,"Africa",0
"285","Benin",0,1,0.416,285,40,9,73,7.7,55.8,"Africa",0
"289","Bhutan",0,0.5,0.604,211,0,11.3,99,12.5,69.8,"Asia",0
"290","Bhutan",0,0.5,0.596,216,1,11.3,99,12.5,69.4,"Asia",0
"291","Bhutan",0,0.6,0.589,219,1,11.3,97,12.6,69.1,"Asia",0
"292","Bhutan",0,0.6,0.581,223,1,11.3,97,12.3,68.7,"Asia",0
"293","Bhutan",0,0.5,0.572,225,1,11.3,95,11.9,68.3,"Asia",0
"294","Bhutan",0,0.5,0.286,228,1,11.3,91,11.4,67.9,"Asia",0
"295","Bhutan",0,0.4,0.286,232,1,11.3,93,10.9,67.4,"Asia",0
"296","Bhutan",0,0.4,0.286,234,1,11.3,96,10.5,67,"Asia",0
"297","Bhutan",0,0.3,0.286,238,1,11.3,95,10.1,66.5,"Asia",0
"298","Bhutan",0,0.3,0.286,245,1,11.3,95,9.6,65.8,"Asia",0
"299","Bhutan",0,0.3,0.286,254,1,11.3,95,9.2,65,"Asia",0
"300","Bhutan",0,0.3,0.286,263,1,11.3,89,8.8,64.2,"Asia",0
"301","Bhutan",0,0.2,0.286,273,1,11.3,95,8.4,63.3,"Asia",0
"302","Bhutan",0,0.1,0.286,282,1,11.3,86,8,62.5,"Asia",0
"303","Bhutan",0,0.1,0.286,29,1,11.3,88,7.6,61.7,"Asia",0
"304","Bhutan",0,0.1,0.286,312,1,11.3,92,7.3,62,"Asia",0
"305","Bolivia (Plurinational State of)",0,0.1,0.671,186,10,1.1,99,13.8,77,"Americas",1
"306","Bolivia (Plurinational State of)",0,0.1,0.666,189,10,1.1,98,13.8,74,"Americas",1
"307","Bolivia (Plurinational State of)",0,0.1,0.661,192,10,1.1,94,13.8,71,"Americas",1
"308","Bolivia (Plurinational State of)",0,0.1,0.655,194,11,1.1,93,13.8,69.8,"Americas",0
"309","Bolivia (Plurinational State of)",0,0.2,0.649,198,11,1.1,95,13.8,69.3,"Americas",0
"310","Bolivia (Plurinational State of)",0,0.2,0.643,22,12,1.1,91,13.8,68.7,"Americas",0
"311","Bolivia (Plurinational State of)",0,0.2,0.636,27,12,1.1,93,13.8,68,"Americas",0
"312","Bolivia (Plurinational State of)",0,0.2,0.632,211,13,1.1,88,14,67.4,"Americas",0
"313","Bolivia (Plurinational State of)",0,0.2,0.626,216,14,1.2,84,14.1,66.8,"Americas",0
"314","Bolivia (Plurinational State of)",0,0.2,0.625,219,15,1.2,83,14.3,66.2,"Americas",0
"315","Bolivia (Plurinational State of)",0,0.2,0.622,222,16,1.2,85,14.4,65.7,"Americas",0
"316","Bolivia (Plurinational State of)",0,0.2,0.62,226,16,1.2,84,14.6,65.1,"Americas",0
"317","Bolivia (Plurinational State of)",0,0.2,0.617,23,17,1.3,88,14.4,64.5,"Americas",0
"318","Bolivia (Plurinational State of)",0,0.1,0.61,234,18,1.3,77,14,63.9,"Americas",0
"319","Bolivia (Plurinational State of)",0,0.1,0.607,238,19,1.4,71,13.7,63.3,"Americas",0
"320","Bolivia (Plurinational State of)",0,0.1,0.6,243,20,1.4,75,13.3,62.6,"Americas",0
"323","Bosnia and Herzegovina",0,0.1,0.735,12,0,2.4,89,14.2,77,"Europe",1
"324","Bosnia and Herzegovina",0,0.1,0.728,92,0,2.5,92,13.9,76.8,"Europe",1
"325","Bosnia and Herzegovina",0,0.1,0.711,92,0,2.5,88,13.4,76.9,"Europe",1
"326","Bosnia and Herzegovina",0,0.1,0.717,94,0,2.6,89,13.3,76.4,"Europe",1
"327","Bosnia and Herzegovina",0,0.1,0.716,97,0,2.7,65,13.3,76.1,"Europe",1
"328","Bosnia and Herzegovina",0,0.1,0.71,98,0,2.7,91,13.1,76,"Europe",1
"329","Bosnia and Herzegovina",0,0.1,0.703,16,0,2.8,95,12.9,75.4,"Europe",1
"330","Bosnia and Herzegovina",0,0.1,0.697,12,0,2.8,87,12.7,75.7,"Europe",1
"331","Bosnia and Herzegovina",0,0.1,0.286,12,0,2.9,93,12.5,75,"Europe",1
"332","Bosnia and Herzegovina",0,0.1,0.286,99,0,3,84,12.3,75.5,"Europe",1
"333","Bosnia and Herzegovina",0,0.1,0.286,12,0,3,87,12.1,75.2,"Europe",1
"334","Bosnia and Herzegovina",0,0.1,0.286,12,0,3.1,65,11.9,75.4,"Europe",1
"335","Bosnia and Herzegovina",0,0.1,0.286,113,0,3.2,91,11.6,74.9,"Europe",1
"336","Bosnia and Herzegovina",0,0.1,0.286,116,0,3.2,85,6.8,74.6,"Europe",1
"337","Botswana",0,1,0.698,256,2,6.1,95,12.6,65.7,"Africa",0
"338","Botswana",0,1,0.697,268,2,6.4,95,12.6,65.1,"Africa",0
"339","Botswana",0,1,0.693,286,2,6.7,95,12.6,64.2,"Africa",0
"340","Botswana",0,1,0.687,12,3,7,95,12.5,63.4,"Africa",0
"341","Botswana",0,1,0.678,325,3,7.4,95,12.4,62.2,"Africa",0
"342","Botswana",0,1,0.669,349,3,7.8,95,12.3,61.1,"Africa",0
"343","Botswana",0,1,0.661,383,3,8.2,96,12.2,59.2,"Africa",0
"344","Botswana",0,1,0.646,383,3,8.6,96,12.1,57.5,"Africa",0
"345","Botswana",0,1,0.63,383,3,9,96,12.1,56.9,"Africa",0
"346","Botswana",0,1,0.61,383,3,9.4,96,11.9,54.8,"Africa",0
"347","Botswana",0,1,0.593,383,3,9.9,96,11.9,52.6,"Africa",0
"348","Botswana",0,1,0.58,383,4,1.4,96,11.8,52.6,"Africa",0
"349","Botswana",0,1,0.567,383,4,1.8,96,11.8,52.6,"Africa",0
"350","Botswana",0,1,0.558,383,4,11.3,97,11.9,52.6,"Africa",0
"351","Botswana",0,1,0.56,383,4,11.3,97,11.8,52.6,"Africa",0
"353","Brazil",0,0.1,0.754,142,47,2.6,96,15.2,75,"Americas",1
"354","Brazil",0,0.1,0.747,144,49,2.7,93,15.2,74.8,"Americas",1
"355","Brazil",0,0.1,0.734,146,52,2.7,97,14.2,74.7,"Americas",1
"356","Brazil",0,0.1,0.73,148,54,2.8,95,14.2,74.5,"Americas",1
"357","Brazil",0,0.1,0.724,152,57,2.8,99,14,74.1,"Americas",1
"358","Brazil",0,0.1,0.716,154,61,2.9,99,13.8,73.8,"Americas",1
"359","Brazil",0,0.1,0.714,157,64,2.9,99,13.8,73.6,"Americas",1
"360","Brazil",0,0.1,0.704,158,68,3,99,13.3,73.4,"Americas",1
"361","Brazil",0,0.1,0.7,159,73,3,99,13.5,73.3,"Americas",1
"362","Brazil",0,0.1,0.698,161,79,3.1,99,13.8,73,"Americas",1
"363","Brazil",0,0.1,0.694,163,80,3.1,99,13.8,72.7,"Americas",1
"364","Brazil",0,0.1,0.695,17,80,3.2,99,14,72,"Americas",1
"365","Brazil",0,0.1,0.699,172,80,3.3,99,14.8,71.8,"Americas",1
"366","Brazil",0,0.1,0.692,176,80,3.3,99,14.6,71.4,"Americas",1
"367","Brazil",0,0.1,0.685,179,80,3.4,98,14.3,71,"Americas",1
"368","Brazil",0,0.1,0.677,183,80,3.4,98,14.1,75,"Americas",1
"369","Brunei Darussalam",0,0.1,0.864,78,0,5.1,99,14.9,77.7,"Asia",1
